,Adjusted GAA,Age,GA Pct -,Games Played,Games Started,Goalie Point Shares,Goals Against,Goals Against Average,Goals Saved Above Average,Losses,Minutes,Player,Quality Start Percentage,Quality Starts,Really Bad Starts,Save Percentage,Saves,Shots Against,Shutouts,Team,Ties OT Losses,Wins
84,2.78,29,98,64,64,11.1,150,2.37,2.86,18,3792,Marc-Andre Fleury,.516,33,11,.915,1624,1774,5,Pittsburgh Penguins,5,39
85,3.07,26,102,20,18,3.4,51,2.61,-0.85,6,1171,Jeff Zatkoff,.500,9,3,.912,531,582,1,Pittsburgh Penguins,2,12
86,2.81,30,101,64,64,10.1,149,2.39,-2.09,17,3740,Antti Niemi,.469,30,9,.913,1556,1705,4,San Jose Sharks,7,39
87,2.20,26,79,24,18,4.7,39,1.87,10.20,5,1252,Alex Stalock,.667,12,1,.932,532,571,2,San Jose Sharks,2,12
88,2.60,28,96,40,38,6.5,83,2.23,3.34,9,2238,Jaroslav Halak,.579,22,6,.917,919,1002,4,St. Louis Blues,4,24
89,2.29,28,90,31,25,4.8,53,1.96,5.68,6,1624,Brian Elliott,.600,15,2,.922,628,681,4,St. Louis Blues,2,18
90,2.90,33,113,19,19,2.2,46,2.47,-5.16,8,1117,Ryan Miller,.474,9,3,.903,428,474,1,St. Louis Blues,1,10
91,2.61,27,88,63,63,12.9,133,2.23,18.48,14,3586,Ben Bishop,.603,38,8,.924,1625,1758,5,Tampa Bay Lightning,7,37
92,3.41,25,126,23,18,1.9,63,2.90,-13.02,12,1302,Anders Lindback,.333,6,3,.891,517,580,1,Tampa Bay Lightning,2,8
93,2.01,21,,1,1,0.4,2,2.01,,0,60,Kristers Gudlevskis,1.000,1,0,.947,36,38,0,Tampa Bay Lightning,0,1
94,6.65,28,,1,0,0.0,2,6.65,,1,18,Cedrick Desjardins,,0,0,.846,11,13,0,Tampa Bay Lightning,0,0
95,3.17,25,90,55,49,12.6,139,2.70,15.07,19,3084,Jonathan Bernier,.612,30,5,.922,1649,1788,1,Toronto Maple Leafs,7,26
96,3.83,25,103,36,32,6.3,97,3.26,-2.73,16,1785,James Reimer,.500,16,8,.911,997,1094,1,Toronto Maple Leafs,1,12
97,3.17,30,,2,1,0.4,4,2.54,,1,95,Drew MacIntyre,.000,0,0,.922,47,51,0,Toronto Maple Leafs,0,0
98,2.80,34,96,42,42,7.4,96,2.38,3.69,16,2418,Roberto Luongo,.524,22,4,.917,1061,1157,3,Vancouver Canucks,6,19
99,2.82,26,103,41,37,6.1,93,2.41,-2.35,17,2319,Eddie Lack,.541,20,5,.912,959,1052,4,Vancouver Canucks,5,16
100,3.61,24,,4,3,0.0,10,3.01,,2,200,Jacob Markstrom,.333,1,1,.868,66,76,0,Vancouver Canucks,0,1
101,11.66,23,,1,0,-0.2,6,9.99,,,36,Joacim Eriksson,,0,0,.806,25,31,0,Vancouver Canucks,,
102,3.34,24,99,48,45,9.0,126,2.85,1.10,15,2656,Braden Holtby,.578,26,7,.915,1349,1475,4,Washington Capitals,4,23
103,2.78,22,87,17,14,3.5,35,2.38,5.41,5,883,Philipp Grubauer,.643,9,2,.925,434,469,0,Washington Capitals,5,6
104,2.74,28,82,12,12,3.0,27,2.31,6.00,4,701,Jaroslav Halak,.667,8,0,.930,356,383,1,Washington Capitals,3,5
105,3.29,25,100,13,11,2.5,36,2.82,0.10,6,767,Michal Neuvirth,.636,7,2,.914,383,419,0,Washington Capitals,2,4
106,3.55,26,115,57,57,7.4,163,3.01,-21.34,26,3248,Ondrej Pavelec,.421,24,12,.901,1481,1644,1,Winnipeg Jets,7,22
107,2.69,28,93,28,22,5.0,59,2.30,4.50,8,1541,Al Montoya,.591,13,1,.920,678,737,2,Winnipeg Jets,3,13
108,1.97,23,,3,3,0.8,5,1.64,,1,183,Michael Hutchinson,1.000,3,0,.943,83,88,0,Winnipeg Jets,0,2
