,age,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,expected_plsmns,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,on_ice_shot_pct,on_ice_sv_pct,pdo,player,pos,shot_thru_percentage,takeaways,toi_pbp_per_60_all,toi_pbp_per_60_ev,total_shots_attempted_all,zs_defense_pct,zs_offense_pct,team
101,26,116,95,45.0,-8.3,1.5,91,77,45.8,-7.5,12,1,6.7,85.2,91.9,Jordan Szwarz,RW,82.6,3,11:31,10:29,23.0,50.7,49.3,Boston Bruins
102,23,167,217,56.5,5.1,2.4,132,171,56.4,5.0,25,7,4.5,92.2,96.7,Frank Vatrano,LW,61.8,5,9:28,8:47,68.0,33.1,66.9,Boston Bruins
103,29,164,168,50.6,-4.9,0.8,125,132,51.4,-4.8,18,3,10.6,88.1,98.7,Tommy Wingels,C,52.8,5,11:55,10:29,36.0,59.6,40.4,Boston Bruins
104,25,587,552,48.5,0.6,-2.9,445,402,47.5,-0.7,47,13,6.3,92.1,98.4,Victor Antipin,D,50.6,4,15:17,14:07,79.0,44.8,55.2,Buffalo Sabres
105,22,122,95,43.8,-8.6,-0.7,99,70,41.4,-10.2,12,2,9.6,90.5,100.2,Justin Bailey,RW,63.3,4,11:17,10:13,30.0,40.6,59.4,Buffalo Sabres
106,22,278,235,45.8,-2.6,-3.8,209,177,45.9,-2.5,33,8,6.1,92.6,98.7,Nicholas Baptiste,RW,64.3,4,9:58,8:53,70.0,48.0,52.0,Buffalo Sabres
107,25,842,780,48.1,0.5,-5.6,645,610,48.6,1.9,59,30,6.1,90.7,96.8,Nathan Beaulieu,D,45.3,6,15:57,14:43,148.0,49.0,51.0,Buffalo Sabres
108,27,284,274,49.1,3.0,0.0,211,217,50.7,4.7,18,9,3.1,91.9,95.1,Zach Bogosian,D,60.4,3,19:09,17:14,48.0,57.3,42.7,Buffalo Sabres
109,25,62,55,47.0,-3.0,0.8,43,44,50.6,2.8,9,2,0.0,88.2,88.2,Kyle Criscuolo,C,62.5,3,8:01,7:38,8.0,61.9,38.1,Buffalo Sabres
110,21,1013,1002,49.7,2.6,0.2,794,772,49.3,2.4,67,61,8.9,87.9,96.8,Jack Eichel,C,56.6,38,20:09,15:38,433.0,38.8,61.2,Buffalo Sabres
111,29,672,496,42.5,-6.1,-5.9,501,380,43.1,-5.2,46,12,5.0,91.3,96.3,Justin Falk,D,59.0,3,16:05,14:29,61.0,58.4,41.6,Buffalo Sabres
112,22,40,29,42.0,-2.7,-1.4,27,23,46.0,-0.4,5,0,0.0,95.2,95.2,Hudson Fasching,RW,16.7,0,9:42,7:27,6.0,50.0,50.0,Buffalo Sabres
113,29,77,85,52.5,8.4,-1.9,57,63,52.5,5.8,7,4,2.2,95.6,97.7,Taylor Fedun,D,40.0,0,14:41,13:10,20.0,40.5,59.5,Buffalo Sabres
114,24,744,696,48.3,1.0,-1.5,592,528,47.1,-0.3,71,12,5.8,91.6,97.4,Zemgus Girgensons,C,67.3,18,13:43,11:57,168.0,50.5,49.5,Buffalo Sabres
115,33,416,328,44.1,-6.1,-3.9,316,252,44.4,-5.2,34,7,6.8,93.4,100.2,Josh Gorges,D,42.9,3,14:56,13:01,35.0,56.6,43.4,Buffalo Sabres
116,25,164,162,49.7,2.0,-2.1,127,113,47.1,-0.2,21,6,2.4,91.9,94.4,Seth Griffith,C,71.4,2,10:34,9:54,21.0,36.1,63.9,Buffalo Sabres
117,20,280,292,51.0,4.3,0.6,236,227,49.0,2.3,18,9,7.8,88.4,96.2,Brendan Guhle,D,53.6,1,18:06,16:35,69.0,46.6,53.4,Buffalo Sabres
118,26,393,235,37.4,-12.6,-7.0,293,179,37.9,-12.0,39,8,4.4,95.1,99.5,Jacob Josefson,C,56.5,7,11:23,9:42,62.0,71.2,28.8,Buffalo Sabres
119,26,963,1000,50.9,5.4,3.4,741,786,51.5,6.2,61,35,6.7,90.3,97.0,Evander Kane,LW,62.7,29,19:23,16:14,362.0,40.3,59.7,Buffalo Sabres
120,25,972,707,42.1,-7.5,-18.1,728,538,42.5,-6.8,80,25,5.8,89.8,95.5,Johan Larsson,LW/C,61.4,42,14:07,11:59,140.0,68.6,31.4,Buffalo Sabres
121,24,832,762,47.8,0.4,-6.9,633,592,48.3,1.3,53,26,7.2,90.9,98.1,Jake McCabe,D,49.5,14,19:30,17:00,107.0,47.1,52.9,Buffalo Sabres
122,19,61,59,49.2,-4.2,0.4,49,46,48.4,-3.0,6,5,14.3,89.2,103.5,Casey Mittelstadt,C,60.0,0,14:01,11:52,15.0,25.6,74.4,Buffalo Sabres
123,34,110,98,47.1,-0.6,-2.5,78,76,49.4,1.5,14,1,0.0,87.9,87.9,Matt Moulson,LW,46.4,1,10:17,8:43,28.0,44.4,55.6,Buffalo Sabres
124,25,578,533,48.0,-0.1,-5.0,455,400,46.8,-1.8,37,23,6.0,89.1,95.0,Casey Nelson,D,46.6,8,18:47,17:19,103.0,49.9,50.1,Buffalo Sabres
125,28,628,470,42.8,-6.2,-7.8,465,349,42.9,-6.0,69,15,4.8,93.0,97.8,Jordan Nolan,C,53.2,10,9:48,9:37,94.0,54.4,45.6,Buffalo Sabres
126,19,33,39,54.2,-0.3,-0.4,28,29,50.9,-2.0,3,2,4.3,81.0,85.3,Alexander Nylander,LW,50.0,0,12:52,12:13,4.0,22.2,77.8,Buffalo Sabres
127,24,18,13,41.9,-10.2,0.6,14,9,39.1,-17.3,2,0,28.6,90.9,119.5,Daniel O'Regan,C,0.0,1,9:54,8:21,1.0,50.0,50.0,Buffalo Sabres
128,26,1179,1215,50.8,4.1,-3.6,917,941,50.6,4.1,81,39,7.9,88.9,96.8,Ryan O'Reilly,C,64.2,65,20:48,15:37,358.0,57.4,42.6,Buffalo Sabres
