,age,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,on_ice_shot_pct,on_ice_sv_pct,pdo,player,pos,shot_thru_percentage,takeaways,toi_pbp_per_60_all,toi_pbp_per_60_ev,total_shots_attempted_all,zs_defense_pct,zs_offense_pct,team
84,32,1406,1255,47.2,-6.0,1093,957,46.7,-6.1,77,31,7.3,93.7,101.0,Derek Morris,D,44.6,14,21:03,17:44,186,50.7,49.3,Phoenix Coyotes
85,28,103,93,47.4,-3.0,88,71,44.7,-2.4,11,1,3.8,95.2,99.0,Petr Prucha,C,52.6,4,11:28,10:56,19,50.0,50.0,Phoenix Coyotes
86,29,1037,912,46.8,-5.1,787,699,47.0,-3.8,76,14,8.8,93.8,102.7,Taylor Pyatt,LW,58.6,21,15:30,13:15,215,60.7,39.3,Phoenix Coyotes
87,32,490,555,53.1,4.7,358,421,54.0,6.9,33,11,8.4,91.1,99.5,Michal Rozsival,D,54.4,8,19:59,16:50,57,54.6,45.4,Phoenix Coyotes
88,23,538,591,52.3,1.5,408,456,52.8,3.1,43,21,8.2,94.5,102.7,David Schlemko,D,51.1,3,16:02,13:60,92,51.7,48.3,Phoenix Coyotes
89,31,27,15,35.7,0.5,24,12,33.3,-2.7,2,2,11.1,94.1,105.2,Garrett Stafford,D,66.7,0,12:24,12:24,3,66.7,33.3,Phoenix Coyotes
90,27,1098,1054,49.0,-3.3,851,777,47.7,-4.2,82,26,7.8,93.7,101.4,Lee Stempniak,RW,56.2,46,15:15,13:25,354,57.6,42.4,Phoenix Coyotes
91,22,23,17,42.5,-7.5,18,10,35.7,-14.3,2,1,0.0,76.9,76.9,Chris Summers,D,0.0,0,13:52,11:42,2,58.3,41.7,Phoenix Coyotes
92,21,580,667,53.5,3.1,473,487,50.7,1.3,65,19,9.3,90.9,100.3,Kyle Turris,C,62.4,14,11:16,9:45,186,33.8,66.2,Phoenix Coyotes
93,27,630,795,55.8,5.2,496,594,54.5,5.2,61,14,7.6,92.4,100.0,Scottie Upshall,RW,55.2,25,13:27,12:21,261,43.7,56.3,Phoenix Coyotes
94,29,951,992,51.1,0.9,739,766,50.9,1.8,79,28,7.8,93.5,101.3,Radim Vrbata,RW,63.2,32,16:21,13:02,380,50.2,49.8,Phoenix Coyotes
95,38,903,1004,52.6,2.6,697,752,51.9,2.7,75,32,9.1,91.1,100.2,Ray Whitney,LW,55.1,27,16:57,13:28,283,45.6,54.4,Phoenix Coyotes
96,24,419,422,50.2,-2.5,328,317,49.1,-2.4,36,14,8.5,89.8,98.4,Wojtek Wolski,LW,63.3,7,14:41,12:46,90,47.6,52.4,Phoenix Coyotes
97,24,1553,1597,50.7,0.2,1211,1213,50.0,0.1,82,61,8.5,93.4,101.9,Keith Yandle,D,46.3,31,24:22,19:33,430,47.3,52.7,Phoenix Coyotes
98,29,136,137,50.2,-5.5,109,103,48.6,-5.4,16,2,12.9,94.5,107.4,Nolan Yonkman,D,57.1,1,12:08,9:50,14,62.3,37.7,Phoenix Coyotes
99,21,11,16,59.3,,9,14,60.9,,1,0,0.0,80.0,80.0,Jamie Arniel,C,100.0,0,12:26,11:55,3,44.4,55.6,Boston Bruins
100,22,57,48,45.7,-6.0,45,31,40.8,-8.7,6,1,4.5,94.4,99.0,Matt Bartkowski,D,25.0,0,9:12,8:44,8,44.4,55.6,Boston Bruins
101,25,972,1152,54.2,3.3,717,827,53.6,2.7,80,24,9.5,92.4,101.9,Patrice Bergeron,C,57.8,49,17:53,13:06,365,57.1,42.9,Boston Bruins
102,27,1110,1272,53.4,1.3,850,954,52.9,1.4,69,21,6.2,94.7,101.0,Johnny Boychuk,D,51.0,14,20:30,17:18,302,47.9,52.1,Boston Bruins
103,27,962,831,46.3,-6.8,717,625,46.6,-5.5,80,18,6.8,95.0,101.8,Gregory Campbell,C,57.0,11,13:26,11:29,172,59.2,40.8,Boston Bruins
104,20,237,190,44.5,-5.0,174,142,44.9,-5.0,23,5,9.4,94.5,104.0,Jordan Caron,RW,55.1,3,12:40,10:22,49,50.7,49.3,Boston Bruins
105,33,1452,1711,54.1,4.3,1117,1269,53.2,3.5,81,62,8.7,94.0,102.7,Zdeno Chara,D,53.9,32,25:26,19:28,490,53.4,46.6,Boston Bruins
106,31,1055,1030,49.4,-3.0,794,762,49.0,-2.4,70,28,9.4,93.7,103.0,Andrew Ference,D,43.6,4,17:59,15:47,179,49.2,50.8,Boston Bruins
107,22,21,15,41.7,-14.6,12,9,42.9,-10.0,3,2,12.5,100.0,112.5,Zach Hamill,C,25.0,1,10:28,10:24,4,53.8,46.2,Boston Bruins
108,35,43,38,46.9,-4.6,36,27,42.9,-2.0,3,1,0.0,93.1,93.1,Shane Hnidy,D,33.3,0,14:47,14:26,9,55.0,45.0,Boston Bruins
109,25,1001,1219,54.9,3.8,769,902,54.0,3.0,80,25,10.6,93.1,103.7,Nathan Horton,C,56.3,26,16:17,13:51,334,47.4,52.6,Boston Bruins
110,25,316,265,45.6,-6.1,240,204,45.9,-6.4,22,7,7.6,95.3,102.9,Matt Hunwick,D,53.1,4,16:13,13:34,49,47.9,52.1,Boston Bruins
111,32,431,370,46.2,-8.4,322,247,43.4,-10.5,24,12,10.8,94.5,105.3,Tomas Kaberle,D,38.8,2,21:15,17:35,80,56.3,43.7,Boston Bruins
112,22,535,664,55.4,3.0,410,494,54.6,2.6,38,10,8.4,93.4,101.8,Steven Kampfer,D,43.8,5,17:44,15:42,130,51.0,49.0,Boston Bruins
